Closing Kernel,Avg Boundary Edge Alignment ↑,Avg Region Uniformity ↑,Avg Foreground–Background Contrast ↑,Avg Time (ms) ↓,balanced_average_rank
3,1.0,2.0,2.0,1.0,1.5
5,2.0,1.0,1.0,2.0,1.5
