Method,Radius,Points,fruit_type_fisher_score,fruit_type_silhouette_score,ripeness_fisher_score,ripeness_silhouette_score,fisher_score,silhouette_score,feature_extraction_time_ms_per_roi,feature_vector_size,samples_evaluated,label_sets_evaluated,ripeness_per_fruit_type_macro_fisher_score,ripeness_per_fruit_type_macro_maximum_fisher_score,ripeness_per_fruit_type_macro_top_k_mean_fisher_score,ripeness_per_fruit_type_macro_silhouette_score
Local Binary Pattern (LBP),1,8,0.13996164967781227,-0.24310248453580396,0.017919808099700014,-0.08809949803365812,0.07894072888875614,-0.16560099128473105,62.62779287762948,10,8368,"['fruit_type', 'ripeness']",0.12001274661920966,0.2504409727515702,0.12001274661920969,-0.11507708656601134
Local Binary Pattern (LBP),2,8,0.15028256588652947,-0.23475017483463057,0.018064171072230677,-0.09646733879014172,0.08417336847938008,-0.16560875681238613,60.74683832456986,10,8368,"['fruit_type', 'ripeness']",0.1209963557996927,0.2603760086226225,0.12099635579969273,-0.1125463755401249
Local Binary Pattern (LBP),3,8,0.157027477894008,-0.22952500986487068,0.017797468240161186,-0.09610313285005617,0.08741247306708459,-0.16281407135746342,51.07754414435984,10,8368,"['fruit_type', 'ripeness']",0.12025860367609775,0.23835722813230203,0.12025860367609775,-0.11682908478738807
