Configuration,Selected,n_estimators,learning_rate,num_leaves,max_depth,Validation Accuracy,Validation Macro Precision,Validation Macro Recall,Validation Macro F1,Training Time (s),Prediction Time (ms/ROI)
Configuration 1,False,150,0.05,31,-1,0.8275,0.8139,0.7001,0.7335,3.1672,0.0126
Configuration 2,True,250,0.05,31,-1,0.8355,0.8206,0.71,0.7436,3.4971,0.0237
