Method,Bins,fruit_type_fisher_score,fruit_type_silhouette_score,ripeness_fisher_score,ripeness_silhouette_score,fisher_score,silhouette_score,feature_extraction_time_ms_per_roi,feature_vector_size,samples_evaluated,label_sets_evaluated,ripeness_per_fruit_type_macro_fisher_score,ripeness_per_fruit_type_macro_maximum_fisher_score,ripeness_per_fruit_type_macro_top_k_mean_fisher_score,ripeness_per_fruit_type_macro_silhouette_score
RGB Histogram,8,0.1299606005927216,-0.05175879120603549,0.01247120298665092,-0.06775471111135298,0.07121590178968626,-0.059756751158694235,2.9490180587613564,24,6501,"['fruit_type', 'ripeness']",0.05133197562113503,0.15944302819371228,0.08726448280364497,-0.0518744014720771
RGB Histogram,16,0.10432993709247368,-0.048660040613812856,0.01023019728786684,-0.05817839391140063,0.05728006719017026,-0.05341921726260675,2.019910167665902,48,6501,"['fruit_type', 'ripeness']",0.04422893131353196,0.15579834128864803,0.09878634750431872,-0.0573215706169804
RGB Histogram,32,0.08962738200038382,-0.05792381349425695,0.008975948737822467,-0.05144113233891748,0.049301665369103145,-0.05468247291658722,2.9158921242857256,96,6501,"['fruit_type', 'ripeness']",0.04028499612961268,0.16361007164729918,0.11189061355346733,-0.07000756700305746
RGB Histogram,64,0.08207250727387637,-0.07682565261976343,0.008277686561874505,-0.046576605927419946,0.04517509691787544,-0.061701129273591684,2.6985243962476124,192,6501,"['fruit_type', 'ripeness']",0.03866453489316719,0.16691255072690564,0.1273887290945289,-0.08259341525082296
