area,images_evaluated,detection_success_rate,exact_count_accuracy,mae,avg_detection_time_ms
3000,5553,0.9972987574284171,0.6810732937151089,0.5262020529443544,0.6718568701299393
4000,5553,0.9951377633711507,0.7133081217359986,0.4412029533585449,0.6511778680544112
5000,5553,0.9942373491806231,0.7457230325949937,0.36989014946875565,0.6401643794207813
7000,5553,0.9911759409328291,0.7916441563119034,0.28038897893030795,0.6347669368662952
10000,5553,0.9845128759229246,0.8370250315144967,0.20169277867819196,0.6649248513010546
