area,images_evaluated,detection_success_rate,exact_count_accuracy,mae,avg_detection_time_ms
3000,5553,0.9272465334053664,0.5966144426436161,0.5978750225103547,2.4840777777568603
4000,5553,0.902215018908698,0.6299297676931388,0.49360705924725373,2.696598379174373
5000,5553,0.8892490545651,0.6533405366468575,0.43544030253916804,2.650787106052573
7000,5553,0.8645777057446425,0.6857554475058527,0.3610660904015847,2.574354925282578
10000,5553,0.8303619665045922,0.706645056726094,0.31532504952278045,2.715259067135576
