Kernel,Images Evaluated,Avg BRISQUE ↓,Avg NIQE ↓,Avg PIQE ↓,Avg SSIM ↑,Avg Time (ms) ↓,kernel_size
3 x 3,5553,51.934757177022135,9.361289546533357,46.722194499890485,0.8784298593076402,164.98973043396833,3
5 x 5,5553,61.544685807546664,9.079816507767324,41.79324599444147,0.7837270705693089,165.69165429498668,5
